classes,count,,,,,
http://dbpedia.org/class/yago/PeopleSelf-identifyingAsAlcoholics,38,,,,,
http://dbpedia.org/ontology/leader,38,,,,,
http://dbpedia.org/class/yago/MusiciansFromTennessee,37,,,,,
http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1999,37,,,,,
http://dbpedia.org/class/yago/ECMArtists,37,,,,,
http://dbpedia.org/ontology/Group,37,,,,,
http://dbpedia.org/class/yago/PeopleFromMemphis,Tennessee,37,,,,
http://dbpedia.org/ontology/Bridge,36,,,,,
http://dbpedia.org/ontology/MilitaryConflict,36,,,,,
http://dbpedia.org/class/yago/ComposersForPiano,36,,,,,
http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1995,36,,,,,
http://dbpedia.org/class/yago/BisexualMusicians,36,,,,,
http://dbpedia.org/class/yago/SongwritersFromNewYork,36,,,,,
http://dbpedia.org/ontology/VideoGame,36,,,,,
http://dbpedia.org/class/yago/AmericanHipHopRecordProducers,36,,,,,
http://dbpedia.org/ontology/Philosopher,36,,,,,
http://dbpedia.org/class/yago/AmericanCountryMusicians,36,,,,,
http://dbpedia.org/class/yago/MCARecordsArtists,36,,,,,
http://dbpedia.org/ontology/Mayor,36,,,,,
http://dbpedia.org/class/yago/AmericanMusiciansOfGermanDescent,36,,,,,
http://dbpedia.org/class/yago/BlueNoteRecordsArtists,36,,,,,
http://dbpedia.org/class/yago/Italian-languageSingers,35,,,,,
http://dbpedia.org/class/yago/TraditionalPopMusicSingers,35,,,,,
http://dbpedia.org/class/yago/AmericanExpatriatesInTheUnitedKingdom,35,,,,,
http://dbpedia.org/class/yago/ElektraRecordsArtists,35,,,,,
http://dbpedia.org/ontology/Food,35,,,,,
http://dbpedia.org/class/yago/FemalePunkRockSingers,35,,,,,
http://dbpedia.org/class/yago/AmericanMusicalTheatreActors,34,,,,,
http://dbpedia.org/class/yago/MotownArtists,34,,,,,
http://dbpedia.org/ontology/PoliticalParty,34,,,,,
http://dbpedia.org/class/yago/VerveRecordsArtists,34,,,,,
http://dbpedia.org/ontology/IceHockeyLeague,34,,,,,
http://dbpedia.org/class/yago/MusiciansFromManchester,34,,,,,
http://dbpedia.org/class/yago/VideoGameComposers,34,,,,,
http://dbpedia.org/class/yago/AmericanPeopleOfItalianDescent,34,,,,,
http://dbpedia.org/class/yago/RoyalPhilharmonicSocietyGoldMedallists,34,,,,,
http://dbpedia.org/class/yago/GuggenheimFellows,34,,,,,
http://dbpedia.org/ontology/family,34,,,,,
http://dbpedia.org/ontology/Ship,33,,,,,
http://dbpedia.org/class/yago/MusiciansFromFlorida,33,,,,,
http://dbpedia.org/class/yago/OfficersOfTheOrderOfCanada,33,,,,,
http://dbpedia.org/class/yago/GermanMusicians,33,,,,,
http://dbpedia.org/ontology/Animal,33,,,,,
http://dbpedia.org/class/yago/CanadianFolkSingers,33,,,,,
http://dbpedia.org/class/yago/SongwritersFromCalifornia,33,,,,,
http://dbpedia.org/class/yago/MusiciansFromOntario,33,,,,,
http://dbpedia.org/ontology/colourName,33,,,,,
http://dbpedia.org/class/yago/MusiciansFromDetroit,Michigan,33,,,,
http://dbpedia.org/class/yago/AmericanRockBassGuitarists,33,,,,,
http://dbpedia.org/class/yago/EnglishTelevisionActors,32,,,,,
http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1996,32,,,,,
http://dbpedia.org/class/yago/HipHopDJs,32,,,,,
http://dbpedia.org/class/yago/PeopleFromQueens,32,,,,,
http://dbpedia.org/class/yago/AmericanPopPunkMusicalGroups,32,,,,,
http://dbpedia.org/class/yago/AfricanAmericanRockMusicians,32,,,,,
http://dbpedia.org/ontology/SportsTeam,32,,,,,
http://dbpedia.org/class/yago/EpicRecordsArtists,32,,,,,
http://dbpedia.org/class/yago/Blue-eyedSoulSingers,32,,,,,
http://dbpedia.org/class/yago/AmericanPost-hardcoreMusicalGroups,32,,,,,
http://dbpedia.org/class/yago/FrenchComposers,32,,,,,
http://dbpedia.org/class/yago/EnglishNewWaveMusicians,32,,,,,
http://dbpedia.org/ontology/class,31,,,,,
http://dbpedia.org/class/yago/PeopleFromManhattan,31,,,,,
http://dbpedia.org/ontology/Case,31,,,,,
http://dbpedia.org/class/yago/MusiciansFromMichigan,31,,,,,
http://dbpedia.org/resource/Film,31,,,,,
http://dbpedia.org/class/yago/MusiciansFromVirginia,31,,,,,
http://dbpedia.org/class/yago/NeoSoulSingers,31,,,,,
http://dbpedia.org/ontology/kingdom,31,,,,,
http://dbpedia.org/class/yago/LGBTRightsActivistsFromTheUnitedStates,31,,,,,
http://dbpedia.org/class/yago/AmbientMusicians,30,,,,,
http://dbpedia.org/class/yago/NewAgeMusicians,30,,,,,
http://dbpedia.org/class/yago/AfricanAmericanRecordProducers,30,,,,,
http://dbpedia.org/class/yago/AmericanMusicalTheatreComposers,30,,,,,
http://dbpedia.org/class/yago/GermanFemaleSingers,30,,,,,
http://dbpedia.org/class/yago/AmericanFolkRockMusicians,30,,,,,
http://dbpedia.org/class/yago/AmericanDrummers,30,,,,,
http://dbpedia.org/class/yago/PeopleFromChicago,Illinois,30,,,,
http://dbpedia.org/class/yago/SavoyRecordsArtists,30,,,,,
http://dbpedia.org/class/yago/ElectricBluesMusicians,30,,,,,
