Concept,count
http://dbpedia.org/class/yago/WikicatAlumniOfTheUniversityOfOxford,2172
http://dbpedia.org/class/yago/WikicatOperas,2165
http://dbpedia.org/class/yago/WikicatAssociationFootballWingers,2161
http://dbpedia.org/class/yago/WikicatAmericanJudges,2152
"http://dbpedia.org/class/yago/WikicatAlumniOfTrinityCollege,Cambridge",2144
http://dbpedia.org/class/yago/WikicatAmericanPhotographers,2132
http://dbpedia.org/class/yago/WikicatPopSingers,2124
http://dbpedia.org/class/yago/WikicatAmericanDocumentaryFilms,2111
http://dbpedia.org/class/yago/WikicatPeopleFromMontreal,2107
http://dbpedia.org/class/yago/WikicatOlympicMedalistsInRowing,2102
http://dbpedia.org/class/yago/WikicatArgentineExpatriateFootballers,2100
http://dbpedia.org/class/yago/WikicatAmericanPlayersOfAmericanFootball,2096
http://dbpedia.org/ontology/Musical,2094
http://dbpedia.org/class/yago/WikicatAmericanTelevisionWriters,2090
http://dbpedia.org/class/yago/WikicatPlantsDescribedIn1753,2065
http://dbpedia.org/class/yago/WikicatOperaComposers,2063
http://dbpedia.org/class/yago/WikicatAustralianLaborPartyPoliticians,2049
http://dbpedia.org/class/yago/WikicatAmericanPhysicians,2045
http://dbpedia.org/ontology/Cardinal,2033
http://dbpedia.org/class/yago/WikicatAmericanWomenNovelists,2029
http://dbpedia.org/class/yago/WikicatAmericanShortStoryWriters,2023
http://www.wikidata.org/entity/Q1067263,2016
http://dbpedia.org/class/yago/WikicatAmericanMaleVoiceActors,2008
http://dbpedia.org/class/yago/WikicatSuperBowlChampions,1970
http://www.wikidata.org/entity/Q4610556,1966
http://www.w3.org/2002/07/owl#DatatypeProperty,1947
http://www.wikidata.org/entity/Q55488,1947
http://dbpedia.org/ontology/Mineral,1941
http://dbpedia.org/class/yago/WikicatBaronetcies,1929
http://dbpedia.org/class/yago/WikicatBelgianProLeaguePlayers,1924
http://dbpedia.org/class/yago/WikicatPeopleFromBerlin,1922
http://dbpedia.org/class/yago/WikicatAmericanChiefExecutives,1897
http://dbpedia.org/class/yago/WikicatAlumniOfTheUniversityOfCambridge,1887
http://dbpedia.org/class/yago/WikicatPhiladelphiaPhilliesPlayers,1877
http://dbpedia.org/class/yago/WikicatSwedishPeople,1875
http://dbpedia.org/class/yago/WikicatAmericanPhilanthropists,1865
http://dbpedia.org/class/yago/WikicatAmericanNon-fictionWriters,1865
http://dbpedia.org/class/yago/WikicatAmericanPeopleOfGermanDescent,1856
http://dbpedia.org/class/yago/WikicatSüperLigPlayers,1855
http://dbpedia.org/ontology/Beverage,1853
http://dbpedia.org/class/yago/WikicatAmericanProsecutors,1851
http://dbpedia.org/class/yago/WikicatPeopleFromVienna,1848
http://dbpedia.org/class/yago/WikicatUnitedStatesNavyOfficers,1848
http://dbpedia.org/class/yago/WikicatAmericanMaleActors,1844
http://dbpedia.org/class/yago/WikicatPeopleFromTokyo,1840
http://dbpedia.org/class/yago/WikicatAmericanGuitarists,1838
http://dbpedia.org/class/yago/WikicatAmericanBasketballCoaches,1832
http://dbpedia.org/class/yago/WikicatUnitedStatesArmyGenerals,1822
http://dbpedia.org/class/yago/WikicatTownshipsInMinnesota,1813
http://dbpedia.org/ontology/RadioProgram,1806
http://dbpedia.org/class/yago/WikicatBirdsOfSouthAmerica,1805
http://dbpedia.org/class/yago/WikicatPeopleFromBuenosAires,1796
http://dbpedia.org/class/yago/WikicatAmericanSilentShortFilms,1788
http://dbpedia.org/class/yago/WikicatAustralianFilms,1763
http://dbpedia.org/class/yago/WikicatSt.LouisCardinalsPlayers,1760
http://dbpedia.org/ontology/BroadcastNetwork,1760
http://dbpedia.org/class/yago/WikicatAmericanRecordLabels,1753
http://dbpedia.org/class/yago/WikicatPittsburghPiratesPlayers,1743
http://dbpedia.org/class/yago/WikicatAmericanMaleWriters,1743
http://dbpedia.org/class/yago/WikicatAmericanArchitects,1741
http://dbpedia.org/class/yago/WikicatPortugueseFootballers,1738
http://dbpedia.org/class/yago/WikicatAll-AmericanCollegeFootballPlayers,1733
http://dbpedia.org/ontology/BusCompany,1730
http://dbpedia.org/class/yago/WikicatAssociationFootballFullbacks,1725
http://dbpedia.org/class/yago/WikicatPointGuards,1721
http://dbpedia.org/ontology/GrandPrix,1717
http://dbpedia.org/class/yago/WikicatPeopleFromToronto,1715
http://dbpedia.org/class/yago/WikicatParamountPicturesFilms,1715
http://dbpedia.org/class/yago/WikicatAmericanPhysicists,1711
http://dbpedia.org/class/yago/WikicatSprinters,1706
http://dbpedia.org/class/yago/WikicatOlympicGoldMedalistsForTheUnitedStates,1701
http://dbpedia.org/class/yago/WikicatAmericanInventors,1696
http://dbpedia.org/class/yago/WikicatPeopleOfTheStuartPeriod,1686
http://schema.org/Library,1685
http://schema.org/Restaurant,1673
http://dbpedia.org/class/yago/WikicatRear-wheel-driveVehicles,1670
http://dbpedia.org/ontology/Monument,1666
http://dbpedia.org/ontology/Colour,1653
http://dbpedia.org/class/yago/WikicatArcadeGames,1653
http://dbpedia.org/class/yago/WikicatAustralianPeople,1651
http://www.wikidata.org/entity/Q7946,1642
"http://dbpedia.org/class/yago/WikicatPopulatedPlacesInCentralProvince,SriLanka",1639
http://dbpedia.org/class/yago/WikicatAmericanTelevisionFilms,1632
http://dbpedia.org/ontology/Hotel,1629
http://dbpedia.org/class/yago/WikicatStageActors,1627
http://dbpedia.org/class/yago/WikicatAmericanStageActors,1622
http://dbpedia.org/class/yago/WikicatAmericanMathematicians,1619
http://schema.org/Hotel,1609
http://dbpedia.org/class/yago/WikicatAmericanTelevisionDirectors,1603
http://dbpedia.org/class/yago/WikicatPlayStation2Games,1603
http://dbpedia.org/class/yago/WikicatBayerObjects,1597
http://dbpedia.org/class/yago/WikicatAmericanWestern(genre)Films,1587
http://dbpedia.org/class/yago/WikicatPossibleCut-and-pasteMoves,1580
http://dbpedia.org/class/yago/WikicatStars,1573
http://dbpedia.org/class/yago/WikicatBaronetsInTheBaronetageOfTheUnitedKingdom,1561
http://dbpedia.org/class/yago/WikicatTownshipsInPennsylvania,1551
http://dbpedia.org/class/yago/WikicatAmericanRockGuitarists,1547
http://dbpedia.org/class/yago/WikicatArgentineFilms,1539
http://dbpedia.org/class/yago/WikicatUnitedStatesMilitaryAcademyAlumni,1522
http://dbpedia.org/class/yago/WikicatAmericanActivists,1513
http://dbpedia.org/class/yago/WikicatAmericanFootballCornerbacks,1493
http://dbpedia.org/ontology/Fashion,1488
http://dbpedia.org/class/yago/WikicatPeopleFromDublin(city),1473
http://dbpedia.org/class/yago/WikicatBillboardHotCountrySongsNumber-oneSingles,1466
http://dbpedia.org/class/yago/WikicatPeopleFromManhattan,1457
