classes,count
http://wikidata.dbpedia.org/ontology/ChemicalSubstance,17206
http://schema.org/TVEpisode,17140
http://dbpedia.org/ontology/NCAATeamSeason,16996
http://dbpedia.org/ontology/Protein,16995
http://www.wikidata.org/entity/Q473972,16956
http://dbpedia.org/ontology/Historian,16877
http://dbpedia.org/dbtax/Historian,16720
http://wikidata.dbpedia.org/ontology/Cricketer,16478
http://dbpedia.org/ontology/RugbyPlayer,16456
http://schema.org/TelevisionStation,16443
http://dbpedia.org/ontology/Airport,16234
http://wikidata.dbpedia.org/ontology/Mountain,16104
http://dbpedia.org/dbtax/Movement,15938
http://dbpedia.org/ontology/Cleric,15776
http://dbpedia.org/ontology/Lake,15757
http://dbpedia.org/dbtax/Personality,15752
http://dbpedia.org/ontology/Personality,15752
http://schema.org/MusicRecording,15686
http://dbpedia.org/dbtax/Agency,15367
http://wikidata.dbpedia.org/ontology/IceHockeyPlayer,15366
http://wikidata.dbpedia.org/ontology/RugbyPlayer,15201
http://dbpedia.org/dbtax/People,15134
http://dbpedia.org/ontology/PoliticalParty,15014
http://dbpedia.org/ontology/President,14968
http://wikidata.dbpedia.org/ontology/Cleric,14941
http://dbpedia.org/ontology/Food,14888
http://dbpedia.org/ontology/Mayor,14846
http://dbpedia.org/ontology/Royalty,14804
http://schema.org/StadiumOrArena,14783
http://dbpedia.org/dbtax/War,14752
http://dbpedia.org/ontology/Election,14644
http://dbpedia.org/dbtax/Producer,14569
http://dbpedia.org/ontology/Producer,14569
http://dbpedia.org/dbtax/History,14464
http://dbpedia.org/dbtax/Mayor,14353
http://dbpedia.org/dbtax/Township,14292
http://dbpedia.org/ontology/Township,14292
http://dbpedia.org/ontology/Disease,14264
http://dbpedia.org/ontology/ChemicalCompound,14246
http://wikidata.dbpedia.org/ontology/Airport,14233
http://www.wikidata.org/entity/Q486839,14112
http://dbpedia.org/dbtax/Class,14005
http://dbpedia.org/ontology/Judge,13971
http://dbpedia.org/dbtax/President,13856
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation,13802
http://dbpedia.org/ontology/Country,13779
http://www.wikidata.org/entity/Q7278,13667
http://dbpedia.org/ontology/Bird,13640
http://dbpedia.org/ontology/Senator,13594
http://wikidata.dbpedia.org/ontology/NCAATeamSeason,13587
http://dbpedia.org/ontology/Automobile,13547
http://wikidata.dbpedia.org/ontology/MilitaryConflict,13507
http://dbpedia.org/dbtax/Program,13424
http://dbpedia.org/dbtax/Senator,13413
http://dbpedia.org/dbtax/Study,13368
http://www.wikidata.org/entity/Q11032,13315
http://www.wikidata.org/entity/Q33999,13306
http://dbpedia.org/dbtax/Programme,13289
http://www.wikidata.org/entity/Q737498,13278
http://dbpedia.org/dbtax/Judge,13143
http://wikidata.dbpedia.org/ontology/Protein,13033
http://wikidata.dbpedia.org/ontology/Bird,12975
http://dbpedia.org/ontology/Drug,12870
http://dbpedia.org/ontology/AustralianRulesFootballPlayer,12824
http://wikidata.dbpedia.org/ontology/Mammal,12776
http://dbpedia.org/ontology/Stadium,12757
http://dbpedia.org/ontology/HistoricBuilding,12728
http://dbpedia.org/ontology/Aircraft,12426
http://wikidata.dbpedia.org/ontology/AustralianRulesFootballPlayer,12386
http://dbpedia.org/dbtax/Songwriter,12365
http://dbpedia.org/ontology/Songwriter,12365
http://wikidata.dbpedia.org/ontology/FictionalCharacter,12230
http://www.wikidata.org/entity/Q8386,12149
http://dbpedia.org/dbtax/Network,12100
http://www.wikidata.org/entity/Q245068,12071
http://www.wikidata.org/entity/Q15117302,11861
http://www.ontologydesignpatterns.org/ont/d0.owl#Activity,11858
http://www.wikidata.org/entity/Q1914636,11858
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#FunctionalSubstance,11833
http://www.wikidata.org/entity/Q2095,11833
http://dbpedia.org/ontology/Cyclist,11706
http://wikidata.dbpedia.org/ontology/FootballLeagueSeason,11585
http://dbpedia.org/ontology/CelestialBody,11534
http://dbpedia.org/dbtax/Line,11455
http://dbpedia.org/ontology/BasketballPlayer,11430
http://dbpedia.org/ontology/Island,11393
http://www.wikidata.org/entity/Q728,11309
http://www.wikidata.org/entity/Q12136,11218
http://dbpedia.org/ontology/Fungus,11185
http://dbpedia.org/dbtax/Episode,11148
http://wikidata.dbpedia.org/ontology/BasketballPlayer,11142
http://dbpedia.org/ontology/TelevisionStation,11131
http://dbpedia.org/dbtax/Right,10974
http://dbpedia.org/ontology/ProtectedArea,10967
http://dbpedia.org/dbtax/Science,10961
http://www.wikidata.org/entity/Q23442,10956
http://wikidata.dbpedia.org/ontology/Fungus,10860
http://wikidata.dbpedia.org/ontology/Royalty,10849
http://dbpedia.org/dbtax/Composition,10782
http://www.wikidata.org/entity/Q327333,10624
http://dbpedia.org/dbtax/Parish,10591
http://dbpedia.org/ontology/Parish,10591
http://dbpedia.org/dbtax/Biologist,10559
http://dbpedia.org/ontology/Biologist,10559
http://www.wikidata.org/entity/Q33506,10551
http://dbpedia.org/dbtax/Division,10474
http://dbpedia.org/dbtax/League,10464
http://www.wikidata.org/entity/Q41710,10414
http://wikidata.dbpedia.org/ontology/Lake,10396
http://dbpedia.org/dbtax/Brand,10395
http://dbpedia.org/ontology/EthnicGroup,10391
http://dbpedia.org/ontology/Newspaper,10308
http://dbpedia.org/ontology/Genre,10304
http://wikidata.dbpedia.org/ontology/Aircraft,10267
http://dbpedia.org/ontology/TelevisionEpisode,10245
http://dbpedia.org/dbtax/Protestant,10186
http://dbpedia.org/dbtax/Chemical,10163
http://dbpedia.org/dbtax/Style,10155
http://dbpedia.org/ontology/Activity,10145
http://dbpedia.org/dbtax/Association,10079
http://www.wikidata.org/entity/Q41298,10069
http://dbpedia.org/ontology/Museum,10053
http://dbpedia.org/dbtax/Object,10039
http://dbpedia.org/ontology/SportFacility,10035
http://www.wikidata.org/entity/Q618779,10020
http://dbpedia.org/ontology/Race,9990
http://dbpedia.org/dbtax/Range,9968
http://wikidata.dbpedia.org/ontology/Cyclist,9936
http://dbpedia.org/ontology/Weapon,9934
http://wikidata.dbpedia.org/ontology/ChemicalCompound,9931
http://dbpedia.org/ontology/SoccerClubSeason,9918
http://dbpedia.org/dbtax/Genre,9910
http://www.wikidata.org/entity/Q8047,9910
http://www.wikidata.org/entity/Q10833314,9800
http://dbpedia.org/dbtax/Record,9796
http://dbpedia.org/dbtax/Diplomat,9791
http://dbpedia.org/ontology/Diplomat,9791
http://dbpedia.org/dbtax/Geocode,9754
http://dbpedia.org/ontology/Model,9583
http://wikidata.dbpedia.org/ontology/Tournament,9573
http://wikidata.dbpedia.org/ontology/CelestialBody,9560
http://dbpedia.org/dbtax/Race,9469
http://dbpedia.org/ontology/Philosopher,9462
http://dbpedia.org/dbtax/Physic,9399
http://www.wikidata.org/entity/Q10843402,9312
http://www.wikidata.org/entity/Q627603,9309
http://dbpedia.org/dbtax/Product,9305
http://dbpedia.org/dbtax/Property,9274
http://dbpedia.org/ontology/Song,9138
http://wikidata.dbpedia.org/ontology/Language,9097
http://dbpedia.org/dbtax/Model,9061
http://dbpedia.org/ontology/CollegeCoach,8965
http://dbpedia.org/ontology/ChristianBishop,8951
http://dbpedia.org/dbtax/Service,8942
http://wikidata.dbpedia.org/ontology/Election,8911
